billno,description,position,url,house,senate
HB7115,Exemption/Applicants for President and Provost,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87,,
SB642,Public Safety – Administrative Sealing of Criminal History Records,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63639&SessionId=87,,
SB1146,Exemption/Photographs and Videos Depicting the Killing of a Person,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=65244&SessionId=87,,
HB1201,Exemption/Autopsy Reports,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=65976&SessionId=87,,
SB7056,OGSR/Family Trust Companies – Office of Financial Regulation,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=64552&SessionId=87,,
HB203,Exemption/Home Addresses,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63087&SessionId=87,,
HB1249,Exemption/Foster Parents and Foster Parent Applicants – Names,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66100&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18944&BillId=66100&SessionId=87&,
SB1622,Exemption/Foster Parents and Foster Parent Applicants – Names,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=65977&SessionId=87,,
HB265,Public Meetings,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63159&SessionId=87,,
SB518,Public Meetings,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63441&SessionId=87,,
HB407,Public Records Civil Actions,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63303&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18644&BillId=63303&SessionId=87&,
SB602,Public Records – Civil Actions,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63566&SessionId=87,,
HB479,Public Records – Time Estimates,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63346&SessionId=87,,
HB759,Public Records – Agency Contracts,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=64558&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18731&BillId=64558&SessionId=87&,
SB1416,Public Records – Agency Contracts,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=65816&SessionId=87,,
SB1458,Redistricting Plans,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=65844&SessionId=87,,
SB248,Exemption/Home Addresses,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=63056&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18616&BillId=63056&SessionId=87&,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18563&BillId=63056&SessionId=87&