legid,alphaname,chamber,party,numericscore,potentialscore,bracket,lettergrade,counties,committesdict
House|Brannan,"Brannan III, Robert Charles",House,R,-12,24,4,D+,Alachua|Baker|Columbia|Hamilton|Suwannee,{'tee': 'Judiciary Committee'}
House|Clemons,"Clemons, Sr., Charles Wesley",House,R,-6,33,6,C,Alachua|Dixie|Gilchrist,{'tee': 'State Affairs Committee'}
Senate|Perry,"Perry, Keith",Senate,R,-12,15,2,D-,Alachua|Marion|Putnam,"{'nce': 'Banking and Insurance', 'ice': 'Criminal Justice'}"
"House|Watson, C.","Watson, Jr., Clovis",House,D,0,30,7,C+,Alachua|Marion,{'tee': 'State Affairs Committee'}
Senate|Bradley,"Bradley, Rob",Senate,R,-13,18,2,D-,Baker|Bradford|Clay|Columbia|Dixie|Gilchrist|Lafayette|Levy|Marion|Suwannee|Union,{'les': 'Rules'}
House|Drake,"Drake, Brad",House,R,-9,33,5,C-,Bay|Holmes|Jackson|Walton|Washington,{'tee': 'State Affairs Committee'}
Senate|Gainer,"Gainer, George B.",Senate,R,-9,9,1,F,Bay|Holmes|Jackson|Okaloosa|Walton|Washington,{}
House|Trumbull,"Trumbull, Jay",House,R,-15,33,4,D+,Bay,{'tee': 'Appropriations Committee'}
House|Payne,"Payne, Bobby",House,R,-3,33,6,C,Bradford|Clay|Putnam|Union,{'tee': 'State Affairs Committee'}
House|Altman,"Altman, Thad",House,R,-12,24,4,D+,Brevard,{'tee': 'Insurance & Banking Subcommittee'}
House|Fine,"Fine, Randy",House,R,-12,24,4,D+,Brevard,{'tee': 'Appropriations Committee'}
Senate|Mayfield,"Mayfield, Debbie",Senate,R,-9,9,1,F,Brevard|Indian River,{}
House|Plasencia,"Plasencia, Rene ""Coach P""",House,R,-3,36,6,C,Brevard|Orange,{'tee': 'Appropriations Committee'}
House|Sirois,"Sirois, Tyler I.",House,R,-19,24,2,D-,Brevard,{'tee': 'Judiciary Committee'}
Senate|Wright,"Wright, Tom A.",Senate,R,-6,12,4,D+,Brevard|Volusia,{'ism': 'Commerce and Tourism'}
Senate|Book,"Book, Lauren",Senate,D,-25,18,1,F,Broward,{'les': 'Rules'}
Senate|Braynon,"Braynon, Oscar II",Senate,D,-18,18,1,F,Broward|Miami-Dade,{'les': 'Rules'}
House|DuBose,"DuBose, Bobby B.",House,D,-15,45,5,C-,Broward,{'tee': 'Appropriations Committee'}
Senate|Farmer,"Farmer, Gary M., Jr.",Senate,D,-13,18,2,D-,Broward,{'les': 'Rules'}
House|Geller,"Geller, Joseph",House,D,-15,27,3,D,Broward|Miami-Dade,{'tee': 'Appropriations Committee'}
House|Gottlieb,"Gottlieb, Michael",House,D,-15,27,3,D,Broward,{'tee': 'Judiciary Committee'}
House|Jacobs,"Jacobs, Kristin Diane",House,D,-16,24,3,D,Broward,{'tee': 'Appropriations Committee'}
House|Jenne,"Jenne, Evan",House,D,4,24,8,B-,Broward,{'tee': 'Appropriations Committee'}
House|Jones,"Jones, Shevrin D.",House,D,-6,21,5,C-,Broward,{'tee': 'Insurance & Banking Subcommittee'}
House|LaMarca,"LaMarca, Chip",House,R,-12,36,5,C-,Broward,{'tee': 'Judiciary Committee'}
House|Omphroy,"Omphroy, Anika Tene",House,D,0,21,7,C+,Broward,{'tee': 'Civil Justice Subcommittee'}
House|Polo,"Polo, Cindy",House,D,4,18,8,B-,Broward|Miami-Dade,{}
House|Pritchett,"Pritchett, Sharon",House,D,-6,18,5,C-,Broward|Miami-Dade,{}
Senate|Rader,"Rader, Kevin J.",Senate,D,-2,21,6,C,Broward|Palm Beach,{'ity': 'Governmental Oversight and Accountability'}
"House|Rodriguez, A. M.","Rodriguez, Ana Maria",House,R,-3,21,6,C,Broward|Collier|Miami-Dade,{'tee': 'Civil Justice Subcommittee'}
House|Stark,"Stark, Richard",House,D,-6,24,5,C-,Broward,{'tee': 'Appropriations Committee'}
Senate|Thurston,"Thurston, Perry E., Jr.",Senate,D,-21,21,1,F,Broward,"{'nce': 'Banking and Insurance', 'les': 'Rules'}"
House|Williams,"Williams, Patricia H.",House,D,-9,21,4,D+,Broward,{'tee': 'Education Committee'}
Senate|Montford,"Montford, Bill",Senate,D,-23,18,1,F,Calhoun|Franklin|Gadsden|Gulf|Hamilton|Jefferson|Leon|Liberty|Madison|Taylor|Wakulla,{'les': 'Rules'}
Senate|Albritton,"Albritton, Ben",Senate,R,-15,21,2,D-,Charlotte|DeSoto|Glades|Hardee|Highlands|Lee|Okeechobee|Polk,{'ity': 'Governmental Oversight and Accountability'}
"House|Grant, M.","Grant, Michael",House,R,-6,18,5,C-,Charlotte,{}
Senate|Gruters,"Gruters, Joe",Senate,R,4,15,9,B,Charlotte|Sarasota,"{'nce': 'Banking and Insurance', 'ism': 'Commerce and Tourism'}"
House|Massullo,"Massullo, Ralph E.",House,R,-2,24,6,C,Citrus|Hernando,{'tee': 'Appropriations Committee'}
Senate|Simpson,"Simpson, Wilton",Senate,R,-25,18,1,F,Citrus|Hernando|Pasco,{'les': 'Rules'}
House|Cummings,"Cummings, W. Travis",House,R,-9,21,4,D+,Clay,{'tee': 'Appropriations Committee'}
House|Donalds,"Donalds, Byron",House,R,-12,24,4,D+,Collier|Hendry,{'tee': 'Criminal Justice Subcommittee'}
Senate|Passidomo,"Passidomo, Kathleen",Senate,R,-18,18,1,F,Collier|Hendry|Lee,{'les': 'Rules'}
House|Rommel,"Rommel, Bob",House,R,-9,27,5,C-,Collier,{'tee': 'Judiciary Committee'}
House|Bell,"Bell, Melony M.",House,R,-3,21,6,C,DeSoto|Hardee|Polk,{'tee': 'Civil Justice Subcommittee'}
Senate|Bean,"Bean, Aaron",Senate,R,-25,21,1,F,Duval|Nassau,{'ity': 'Governmental Oversight and Accountability'}
House|Byrd,"Byrd, Cord",House,R,-9,24,5,C-,Duval|Nassau,{'tee': 'Appropriations Committee'}
House|Daniels,"Daniels, Kimberly",House,D,-9,33,5,C-,Duval,"{'tee': 'Oversight, Transparency & Public Management Subcommittee'}"
House|Davis,"Davis, Tracie",House,D,-6,18,5,C-,Duval,{}
House|Duggan,"Duggan, Wyman",House,R,-9,21,4,D+,Duval,{'tee': 'Insurance & Banking Subcommittee'}
House|Fischer,"Fischer, Jason",House,R,-3,33,6,C,Duval,"{'tee': 'Oversight, Transparency & Public Management Subcommittee'}"
Senate|Gibson,"Gibson, Audrey",Senate,D,-18,18,1,F,Duval,{'les': 'Rules'}
House|Yarborough,"Yarborough, Clay",House,R,-9,33,5,C-,Duval,{'tee': 'Appropriations Committee'}
House|Andrade,"Andrade, Robert Alexander",House,R,-3,33,6,C,Escambia|Santa Rosa,"{'tee': 'Oversight, Transparency & Public Management Subcommittee'}"
Senate|Broxson,"Broxson, Doug",Senate,R,-12,12,1,F,Escambia|Okaloosa|Santa Rosa,{'nce': 'Banking and Insurance'}
House|Hill,"Hill, Mike",House,R,-3,27,6,C,Escambia,{'tee': 'Judiciary Committee'}
Senate|Hutson,"Hutson, Travis",Senate,R,-12,21,3,D,Flagler|St. Johns|Volusia,"{'les': 'Rules', 'ism': 'Commerce and Tourism'}"
House|Renner,"Renner, Paul",House,R,-15,27,3,D,Flagler|St. Johns|Volusia,{'tee': 'Appropriations Committee'}
House|Alexander,"Alexander, Ramon",House,D,-12,24,4,D+,Gadsden|Leon,{'tee': 'Judiciary Committee'}
House|Pigman,"Pigman, Cary",House,R,-9,45,6,C,Glades|Highlands|Okeechobee|St. Lucie,{'tee': 'Appropriations Committee'}
House|Ingoglia,"Ingoglia, Blaise",House,R,-12,30,4,D+,Hernando,{'tee': 'State Affairs Committee'}
House|Beltran,"Beltran, Mike",House,R,-9,27,5,C-,Hillsborough,{'tee': 'Judiciary Committee'}
Senate|Cruz,"Cruz, Janet",Senate,D,-9,9,1,F,Hillsborough,{}
House|Driskell,"Driskell, Fentrice",House,D,-15,27,3,D,Hillsborough,{'tee': 'Judiciary Committee'}
Senate|Galvano,"Galvano, Bill",Senate,R,-9,9,1,F,Hillsborough|Manatee,{}
"House|Grant, J.","Grant, James ""J.W.""",House,R,-18,39,4,D+,Hillsborough|Pinellas,{'tee': 'Judiciary Committee'}
House|Hart,"Hart, Dianne ""Ms Dee""",House,D,0,30,7,C+,Hillsborough,{'tee': 'State Affairs Committee'}
House|Hattersley,"Hattersley, Adam Roger",House,D,-3,33,6,C,Hillsborough,{'tee': 'State Affairs Committee'}
Senate|Lee,"Lee, Tom",Senate,R,-10,21,4,D+,Hillsborough|Pasco|Polk,"{'nce': 'Banking and Insurance', 'les': 'Rules'}"
House|McClure,"McClure, Lawrence",House,R,-6,30,6,C,Hillsborough,{'tee': 'State Affairs Committee'}
House|Newton,"Newton, Wengay",House,D,-6,30,6,C,Hillsborough|Manatee|Pinellas|Sarasota,{'tee': 'State Affairs Committee'}
Senate|Rouson,"Rouson, Darryl Ervin",Senate,D,-12,12,1,F,Hillsborough|Pinellas,{'nce': 'Banking and Insurance'}
House|Toledo,"Toledo, Jackie",House,R,-3,21,6,C,Hillsborough,{'tee': 'Civil Justice Subcommittee'}
House|Valdes,"Valdes, Susan L.",House,D,-3,27,6,C,Hillsborough,{'tee': 'Insurance & Banking Subcommittee'}
House|Grall,"Grall, Erin",House,R,-5,42,6,C,Indian River|St. Lucie,{'tee': 'State Affairs Committee'}
Senate|Baxley,"Baxley, Dennis",Senate,R,-16,9,1,F,Lake|Marion|Sumter,{}
House|Hage,"Hage, Brett Thomas",House,R,-3,21,6,C,Lake|Marion|Sumter,{'tee': 'Commerce Committee'}
House|Sabatini,"Sabatini, Anthony",House,R,-6,24,5,C-,Lake,{'tee': 'Commerce Committee'}
Senate|Stargel,"Stargel, Kelli",Senate,R,-18,18,1,F,Lake|Polk,{'les': 'Rules'}
House|Sullivan,"Sullivan, Jennifer Mae",House,R,-9,21,4,D+,Lake|Orange,{'tee': 'Education Committee'}
Senate|Benacquisto,"Benacquisto, Lizbeth",Senate,R,-18,18,1,F,Lee,{'les': 'Rules'}
House|Eagle,"Eagle, Dane",House,R,-12,24,4,D+,Lee,{'tee': 'Appropriations Committee'}
House|Fitzenhagen,"Fitzenhagen, Heather",House,R,-12,30,4,D+,Lee,{'tee': 'Judiciary Committee'}
House|Roach,"Roach, Spencer",House,R,-9,21,4,D+,Lee,{'tee': 'Criminal Justice Subcommittee'}
"House|Rodrigues, R.","Rodrigues, Ray Wesley",House,R,4,24,8,B-,Lee,{'tee': 'Appropriations Committee'}
House|Ausley,"Ausley, Loranne",House,D,-6,18,5,C-,Leon,{}
House|Stone,"Stone, Charlie",House,R,-3,27,6,C,Levy|Marion,{'tee': 'Commerce Committee'}
House|Gregory,"Gregory, Tommy",House,R,-9,27,5,C-,Manatee|Sarasota,{'tee': 'Judiciary Committee'}
House|Robinson,"Robinson, Jr., William Cloud",House,R,-6,24,5,C-,Manatee|Sarasota,{'tee': 'Commerce Committee'}
House|McClain,"McClain, Stan",House,R,-6,36,6,C,Marion,{'tee': 'State Affairs Committee'}
Senate|Harrell,"Harrell, Gayle",Senate,R,-9,9,1,F,Martin|Palm Beach|St. Lucie,{}
House|Magar,"Magar, MaryLynn",House,R,-3,21,6,C,Martin|Palm Beach,{'tee': 'Appropriations Committee'}
House|Overdorf,"Overdorf, Tobin Rogers",House,R,-3,21,6,C,Martin|St. Lucie,{'tee': 'Commerce Committee'}
House|Aloupis,"Aloupis, Jr., Vance Arthur",House,R,-12,36,5,C-,Miami-Dade,{'tee': 'Insurance & Banking Subcommittee'}
House|Avila,"Avila, Bryan",House,R,-6,24,5,C-,Miami-Dade,{'tee': 'Appropriations Committee'}
House|Bush,"Bush III, James",House,D,-12,24,4,D+,Miami-Dade,{'tee': 'Criminal Justice Subcommittee'}
Senate|Diaz,"Diaz, Manny, Jr.",Senate,R,-9,9,1,F,Miami-Dade,{}
House|Duran,"Duran, Nicholas X.",House,D,-9,21,4,D+,Miami-Dade,{'tee': 'Appropriations Committee'}
House|Fernandez-Barquin,"Fernandez-Barquin, Juan Alfonso",House,R,-15,27,3,D,Miami-Dade,{'tee': 'Judiciary Committee'}
House|Fernández,"Fernández, Javier E.",House,D,-9,30,5,C-,Miami-Dade,"{'tee': 'Oversight, Transparency & Public Management Subcommittee'}"
Senate|Flores,"Flores, Anitere",Senate,R,-21,21,1,F,Miami-Dade|Monroe,"{'les': 'Rules', 'ice': 'Criminal Justice'}"
House|Grieco,"Grieco, Michael",House,D,-9,21,4,D+,Miami-Dade,{'tee': 'Criminal Justice Subcommittee'}
House|Joseph,"Joseph, Dotie",House,D,-6,18,5,C-,Miami-Dade,{}
House|McGhee,"McGhee, Kionne L.",House,D,-9,21,4,D+,Miami-Dade,{'tee': 'Appropriations Committee'}
House|Oliva,"Oliva, Jose R.",House,R,-6,18,5,C-,Miami-Dade,{}
House|Perez,"Perez, Daniel",House,R,-12,24,4,D+,Miami-Dade,{'tee': 'Insurance & Banking Subcommittee'}
Senate|Pizzo,"Pizzo, Jason W. B.",Senate,D,-12,12,1,F,Miami-Dade,{'ice': 'Criminal Justice'}
House|Raschein,"Raschein, Holly",House,R,-9,33,5,C-,Miami-Dade|Monroe,{'tee': 'Appropriations Committee'}
"House|Rodriguez, A.","Rodriguez, Anthony",House,R,-6,30,6,C,Miami-Dade,{'tee': 'State Affairs Committee'}
Senate|Rodriguez,"Rodriguez, Jose Javier",Senate,D,-8,18,4,D+,Miami-Dade,{'les': 'Rules'}
Senate|Taddeo,"Taddeo, Annette",Senate,D,-12,12,1,F,Miami-Dade,{'nce': 'Banking and Insurance'}
"House|Watson, B.","Watson, Barbara",House,D,-9,21,4,D+,Miami-Dade,{'tee': 'Appropriations Committee'}
House|Ponder,"Ponder, Mel",House,R,-6,18,5,C-,Okaloosa,{}
House|Williamson,"Williamson, Jayer",House,R,-6,24,5,C-,Okaloosa|Santa Rosa,{'tee': 'Appropriations Committee'}
House|Antone,"Antone, Bruce",House,D,0,24,7,C+,Orange,{'tee': 'Civil Justice Subcommittee'}
Senate|Bracy,"Bracy, Randolph",Senate,D,-6,12,4,D+,Orange,{'ice': 'Criminal Justice'}
House|Brown,"Brown, Kamia L.",House,D,-6,18,5,C-,Orange,{}
House|Eskamani,"Eskamani, Anna V.",House,D,-12,30,4,D+,Orange,"{'tee': 'Oversight, Transparency & Public Management Subcommittee'}"
House|Goff-Marcil,"Goff-Marcil, Joy",House,D,-6,18,5,C-,Orange|Seminole,{}
House|Mercado,"Mercado, Amy",House,D,-12,27,4,D+,Orange,{'tee': 'Judiciary Committee'}
"House|Smith, C.","Smith, Carlos Guillermo",House,D,-3,27,6,C,Orange,{'tee': 'Appropriations Committee'}
Senate|Stewart,"Stewart, Linda",Senate,D,-6,12,4,D+,Orange,{'ism': 'Commerce and Tourism'}
House|Thompson,"Thompson, Geraldine F.",House,D,-6,21,5,C-,Orange,{'tee': 'Civil Justice Subcommittee'}
Senate|Torres,"Torres, Victor M., Jr.",Senate,D,-9,24,5,C-,Orange|Osceola,"{'ity': 'Governmental Oversight and Accountability', 'ism': 'Commerce and Tourism'}"
"House|Cortes, J.","Cortes, John",House,D,-6,18,5,C-,Osceola,{}
House|La Rosa,"La Rosa, Mike",House,R,-6,24,5,C-,Osceola|Polk,{'tee': 'Appropriations Committee'}
House|Tomkow,"Tomkow, Josie",House,R,-6,18,5,C-,Osceola|Polk,{}
Senate|Berman,"Berman, Lori",Senate,D,2,9,8,B-,Palm Beach,{}
House|Caruso,"Caruso, Michael A.",House,R,-9,21,4,D+,Palm Beach,{'tee': 'Insurance & Banking Subcommittee'}
House|Casello,"Casello, Joseph A.",House,D,-3,21,6,C,Palm Beach,{'tee': 'Commerce Committee'}
House|Jacquet,"Jacquet, Al",House,D,-3,21,6,C,Palm Beach,{'tee': 'Commerce Committee'}
House|Polsky,"Polsky, Tina Scott",House,D,0,30,7,C+,Palm Beach,{'tee': 'State Affairs Committee'}
Senate|Powell,"Powell, Bobby",Senate,D,-9,9,1,F,Palm Beach,{}
House|Roth,"Roth, Rick",House,R,-9,30,5,C-,Palm Beach,{'tee': 'State Affairs Committee'}
House|Silvers,"Silvers, David",House,D,-3,21,6,C,Palm Beach,{'tee': 'Commerce Committee'}
House|Slosberg,"Slosberg, Emily",House,D,-3,30,6,C,Palm Beach,{'tee': 'State Affairs Committee'}
House|Willhite,"Willhite, Matt",House,D,-3,21,6,C,Palm Beach,{'tee': 'Commerce Committee'}
Senate|Hooper,"Hooper, Ed",Senate,R,-25,21,1,F,Pasco|Pinellas,{'ity': 'Governmental Oversight and Accountability'}
House|Mariano,"Mariano, Amber",House,R,-9,21,4,D+,Pasco,{'tee': 'Education Committee'}
House|Zika,"Zika, Ardian",House,R,-19,33,3,D,Pasco,{'tee': 'State Affairs Committee'}
Senate|Brandes,"Brandes, Jeff",Senate,R,-16,24,3,D,Pinellas,"{'nce': 'Banking and Insurance', 'les': 'Rules', 'ice': 'Criminal Justice'}"
House|DiCeglie,"DiCeglie, Nick",House,R,-10,33,5,C-,Pinellas,{'tee': 'State Affairs Committee'}
House|Diamond,"Diamond, Ben",House,D,-15,33,4,D+,Pinellas,{'tee': 'Appropriations Committee'}
House|Latvala,"Latvala, Chris",House,R,-19,36,4,D+,Pinellas,{'tee': 'Appropriations Committee'}
House|Sprowls,"Sprowls, Chris",House,R,-6,21,5,C-,Pinellas,{'tee': 'Appropriations Committee'}
House|Webb,"Webb, Jennifer Necole",House,D,-6,24,5,C-,Pinellas,{'tee': 'Commerce Committee'}
House|Burton,"Burton, Colleen",House,R,-3,18,6,C,Polk,{}
House|Killebrew,"Killebrew, Sam H.",House,R,-12,24,4,D+,Polk,{'tee': 'Judiciary Committee'}
House|Buchanan,"Buchanan, James",House,R,-3,21,6,C,Sarasota,{'tee': 'Commerce Committee'}
House|Good,"Good, Margaret",House,D,-12,42,5,C-,Sarasota,{'tee': 'State Affairs Committee'}
House|Plakon,"Plakon, Scott",House,R,-9,45,6,C,Seminole,{'tee': 'Appropriations Committee'}
Senate|Simmons,"Simmons, David",Senate,R,-18,18,1,F,Seminole|Volusia,{'les': 'Rules'}
"House|Smith, D.","Smith, David",House,R,-6,18,5,C-,Seminole,{}
House|Stevenson,"Stevenson, Cyndi",House,R,-6,24,5,C-,St. Johns,{'tee': 'Insurance & Banking Subcommittee'}
House|Hogan Johnson,"Hogan Johnson, Delores D.",House,D,-3,21,6,C,St. Lucie,{'tee': 'Education Committee'}
House|Fetterhoff,"Fetterhoff, Elizabeth Anne",House,R,-9,21,4,D+,Volusia,{'tee': 'Education Committee'}
House|Leek,"Leek, Thomas J.",House,R,-16,21,2,D-,Volusia,{'tee': 'Appropriations Committee'}
House|Santiago,"Santiago, David",House,R,-6,24,5,C-,Volusia,{'tee': 'Commerce Committee'}
